intf,ipaddr,proto,status,vrf
Bundle-Ether10005.1111,10.100.82.5,Up,Up,IPR3232_EWBANK
Bundle-Ether10005.1115,10.212.181.65,Up,Up,IPR3094_CHINA
Bundle-Ether10005.1116,10.212.166.13,Up,Up,IPR3115_PNB
Bundle-Ether10005.1173,10.225.25.17,Up,Up,IPR3012_ROSE
Bundle-Ether10005.1176,10.229.203.157,Up,Up,IPR7966_PITOAXM
Bundle-Ether10005.1706,10.212.249.129,Up,Up,IPR3110_BOC
Loopback1,10.205.142.3,Up,Up,CIPR20000_TNTMGMT_H00
GigabitEthernet0/0/0/0.700,123.37.1.1,Down,Shutdown,CIPR0092_TNT_TEST
TenGigE0/0/1/0.700,123.37.1.1,Down,Shutdown,CIPR0092_TNT_TEST
TenGigE0/0/1/10.506,123.6.1.1,Up,Up,PE-CE160
TenGigE0/0/1/10.507,123.6.1.129,Up,Up,CE161
TenGigE0/0/1/10.510,123.9.1.1,Up,Up,PE-CE190
TenGigE0/0/1/10.3006,123.6.1.1,Up,Up,PE-CE3006
TenGigE0/0/1/10.3007,123.6.1.129,Up,Up,CE3007
TenGigE0/0/1/10.3010,123.9.1.1,Up,Up,PE-CE3010
TenGigE0/1/1/10.507,123.6.1.1,Up,Up,PE-CE161
TenGigE0/1/1/10.3007,123.6.1.1,Up,Up,PE-CE3007
TenGigE0/1/1/11.507,123.6.1.2,Up,Up,CE161
TenGigE0/1/1/11.3007,123.6.1.2,Up,Up,CE3007
TenGigE0/2/1/1.3200,14.73.80.173,Up,Up,IPR40003_OAM
TenGigE0/2/1/1.3220,14.57.80.173,Up,Up,IPR40001_IUB
TenGigE0/2/1/1.3400,14.81.80.173,Up,Up,IPR40003_OAM
TenGigE0/2/1/1.3401,14.81.81.69,Up,Up,IPR40003_OAM
TenGigE0/2/1/1.3420,14.17.80.173,Up,Up,IPR40004_S1
TenGigE0/2/1/1.3421,14.17.81.69,Up,Up,IPR40004_S1
TenGigE0/2/1/1.3480,14.113.80.173,Up,Up,IPR40002_SYNC
TenGigE0/2/1/1.3481,14.113.81.69,Up,Up,IPR40002_SYNC
TenGigE0/2/1/1.4081,10.221.229.101,Up,Up,CIPR20000_TNTMGMT_H00
