ac_id,create_date,create_dur,create_time,evpn_nei,group,interface,last_change_date,last_change_dur,last_change_time,last_down_date,last_down_dur,last_down_time,pw_id,rx,state,tx,xc,rate_bps_in,rate_bps_out,rate_pps_in,rate_pps_out,description
19,31/03/2021,(1d13h ago),02:36:16,10.205.130.1,XCBNK01MGO01001,TenGigE0/1/0/10,31/03/2021,(1d11h ago),05:02:50,31/03/2021,(1d11h ago),05:02:18,23,66173624171,up,48434287038,CIPB20009_PLDT,2465369000,4305844000,464369,600919,DP_BNKHUBE001 GigabitEthernet5/1/18
20,31/03/2021,(1d13h ago),02:36:16,10.205.130.1,XCBNK01MGO01002,TenGigE0/1/0/11,31/03/2021,(1d11h ago),05:02:43,31/03/2021,(1d11h ago),05:02:18,24,63392484442,up,48375994047,CIPB20010_PLDT,2428162000,4178308000,465282,591921,DP_BNKHUBE001 GigabitEthernet5/1/19
42,31/03/2021,(1d13h ago),02:36:16,0.0.0.0,XCBNK01MGO01003,TenGigE0/1/0/14,31/03/2021,(1d13h ago),02:49:03,,,,46,0,down,0,CIPB20033_PLDT,0,0,0,0,DP_BNKHUBE001 GigabitEthernet1/1/16
38,31/03/2021,(1d13h ago),02:36:16,10.205.130.2,XCBNK01MGO02001,TenGigE0/1/0/12,31/03/2021,(1d11h ago),05:02:43,31/03/2021,(1d11h ago),05:02:18,42,68286440625,up,48539981854,CIPB20031_PLDT,2370971000,4943550000,454028,662208,DP_BNKHUBE001 GigabitEthernet5/1/22
41,31/03/2021,(1d13h ago),02:36:16,10.205.130.2,XCBNK01MGO02002,TenGigE0/1/0/13,31/03/2021,(1d11h ago),05:02:43,31/03/2021,(1d11h ago),05:02:18,45,69767757295,up,48382643583,CIPB20032_PLDT,2441929000,4911869000,460463,659353,DP_BNKHUBE001 GigabitEthernet5/0/12
43,31/03/2021,(1d13h ago),02:36:16,0.0.0.0,XCBNK01MGO02003,TenGigE0/6/0/14,31/03/2021,(1d13h ago),02:48:50,,,,47,0,down,0,CIPB20200_PLDT,0,0,0,0,DP_BNKHUBE001 GigabitEthernet1/1/17
