interface,src_ip,proto,status,vrf,address,age,cpu,mac,state,type
Bundle-Ether5004.1024,unassigned,Up,Up,default,,,,,,
Bundle-Ether5004.1025,unassigned,Up,Up,default,,,,,,
Bundle-Ether5004.1026,172.16.3.45,Up,Up,IPR30076_IPTV,,,,,,
Bundle-Ether5004.1029,unassigned,Up,Up,default,,,,,,
Bundle-Ether5004.1030,unassigned,Up,Up,default,,,,,,
Bundle-Ether5004.1621,unassigned,Up,Up,default,,,,,,
Bundle-Ether5004.3997,unassigned,Up,Up,default,,,,,,
Bundle-Ether5005.1025,unassigned,Up,Up,default,,,,,,
Bundle-Ether5005.1026,172.16.4.33,Up,Up,IPR30076_IPTV,,,,,,
Bundle-Ether5005.1621,unassigned,Up,Up,default,,,,,,
Bundle-Ether5005.3997,unassigned,Up,Up,default,,,,,,
Bundle-Ether5006.1025,unassigned,Up,Up,default,,,,,,
Bundle-Ether5006.1026,172.16.33.17,Up,Up,IPR30076_IPTV,,,,,,
Bundle-Ether5006.1621,unassigned,Up,Up,default,,,,,,
Bundle-Ether5006.1701,10.47.248.249,Up,Up,IPR3175_METBANK,,,,,,
Bundle-Ether5006.1702,10.47.238.253,Up,Up,IPR3175_METBANK,,,,,,
Bundle-Ether5006.3997,unassigned,Up,Up,default,,,,,,
Bundle-Ether10001.1001,10.226.67.65,Up,Up,IPR30800_FTTH_NMS,,,,,,
Bundle-Ether10001.1020,unassigned,Up,Up,default,,,,,,
Bundle-Ether10001.1024,unassigned,Up,Up,default,,,,,,
Bundle-Ether10001.1025,unassigned,Up,Up,default,,,,,,
Bundle-Ether10001.1026,172.16.41.17,Up,Up,IPR30076_IPTV,,,,,,
Bundle-Ether10001.1030,unassigned,Up,Up,default,,,,,,
Bundle-Ether10001.1035,unassigned,Up,Up,default,,,,,,
Bundle-Ether10001.1039,unassigned,Up,Up,default,,,,,,
Bundle-Ether10001.1050,unassigned,Up,Up,default,,,,,,
Bundle-Ether10001.1059,unassigned,Up,Up,default,,,,,,
Bundle-Ether10001.1101,10.227.115.9,Up,Up,IPR3007_BDO,,,,,,
Bundle-Ether10001.1102,10.228.212.233,Up,Up,IPR3393_VICSAL,,,,,,
Bundle-Ether10001.1104,10.228.243.205,Up,Up,IPR6111_BIRMO,,,,,,
Bundle-Ether10001.1113,10.229.105.185,Up,Up,IPR3381_LARES,,,,,,
Bundle-Ether10001.1120,unassigned,Up,Up,default,,,,,,
Bundle-Ether10001.1121,10.229.189.69,Up,Up,IPR5419_STONINO,,,,,,
Bundle-Ether10001.1122,10.213.229.49,Up,Up,IPR3726_ASIANTI,,,,,,
Bundle-Ether10001.2746,10.212.167.21,Up,Up,IPR3115_PNB,,,,,,
Bundle-Ether10002.1001,10.226.96.65,Up,Up,IPR30800_FTTH_NMS,,,,,,
Bundle-Ether10002.1024,unassigned,Up,Up,default,,,,,,
Bundle-Ether10002.1025,unassigned,Up,Up,default,,,,,,
Bundle-Ether10002.1026,172.16.41.21,Up,Up,IPR30076_IPTV,,,,,,
Bundle-Ether10002.1030,unassigned,Up,Up,default,,,,,,
Bundle-Ether10002.1035,unassigned,Up,Up,default,,,,,,
Bundle-Ether10002.1039,unassigned,Up,Up,default,,,,,,
Bundle-Ether10002.1050,unassigned,Up,Up,default,,,,,,
Bundle-Ether10002.1059,unassigned,Up,Up,default,,,,,,
Bundle-Ether10002.1061,10.229.63.237,Up,Up,IPR3374_LBCXPRS,,,,,,
Bundle-Ether10002.1101,10.80.8.94,Up,Up,IPR3013_GOLDARC,,,,,,
Bundle-Ether10002.1102,unassigned,Up,Up,default,,,,,,
Bundle-Ether10002.1105,unassigned,Up,Up,default,,,,,,
Bundle-Ether10002.1106,10.229.138.209,Up,Up,IPR3133_ARGENT,,,,,,
Bundle-Ether10002.1107,172.19.34.130,Up,Up,IPR3172_BDO_NET,,,,,,
Bundle-Ether10003.1001,10.226.109.65,Up,Up,IPR30800_FTTH_NMS,,,,,,
Bundle-Ether10003.1024,unassigned,Up,Up,default,,,,,,
Bundle-Ether10003.1025,unassigned,Up,Up,default,,,,,,
Bundle-Ether10003.1026,172.16.41.25,Up,Up,IPR30076_IPTV,,,,,,
Bundle-Ether10003.1030,unassigned,Up,Up,default,,,,,,
Bundle-Ether10003.1035,unassigned,Up,Up,default,,,,,,
Bundle-Ether10003.1039,unassigned,Up,Up,default,,,,,,
Bundle-Ether10003.1050,unassigned,Up,Up,default,,,,,,
Bundle-Ether10003.1059,unassigned,Up,Up,default,,,,,,
Bundle-Ether10003.1102,unassigned,Up,Up,default,,,,,,
Bundle-Ether10003.1103,10.228.219.177,Up,Up,IPR3713_MAXCARE,,,,,,
Bundle-Ether10003.1104,10.228.7.137,Up,Up,IPR3182_MEDCARD,,,,,,
Bundle-Ether10003.1106,10.229.45.209,Up,Up,IPR3223_SM-SVI,,,,,,
Bundle-Ether10003.1107,10.229.50.201,Up,Up,IPR7290_PAMANA,,,,,,
Bundle-Ether10003.1109,10.229.46.217,Up,Up,IPR3063_ABOITIZ,,,,,,
Bundle-Ether10003.1110,172.20.176.138,Up,Up,IPR3172_BDO_NET,,,,,,
Bundle-Ether10003.1111,unassigned,Up,Up,default,,,,,,
Bundle-Ether10003.1112,unassigned,Up,Up,default,,,,,,
Bundle-Ether10003.1114,172.20.198.130,Up,Up,IPR3172_BDO_NET,,,,,,
Bundle-Ether10003.1115,10.229.79.85,Up,Up,IPR3837_SMFI,,,,,,
Bundle-Ether10003.1116,10.229.105.177,Up,Up,IPR3200_PURGOLD,,,,,,
Bundle-Ether10003.1117,10.229.95.213,Up,Up,IPR7476_RBCPI,,,,,,
Bundle-Ether10003.1118,10.229.95.225,Up,Up,IPR7500_DNDOOCD,,,,,,
